ailment_id,strain_id,name,type,rating,strain_ailment_id,percent,name
26,3534,100-og,hybrid,4,1482,50,stress
13,3534,100-og,hybrid,4,1483,48,anxiety
16,3534,100-og,hybrid,4,1484,38,pain
14,3534,100-og,hybrid,4,1485,25,depression
20,3534,100-og,hybrid,4,1486,21,insomnia
16,3535,1024,sativa,4.4,1487,21,pain
26,3535,1024,sativa,4.4,1488,21,stress
13,3535,1024,sativa,4.4,1489,18,anxiety
14,3535,1024,sativa,4.4,1490,15,depression
11,3535,1024,sativa,4.4,1491,15,inflammation
26,3537,24k-gold,hybrid,4.6,1492,28,stress
14,3537,24k-gold,hybrid,4.6,1493,25,depression
13,3537,24k-gold,hybrid,4.6,1494,23,anxiety
16,3537,24k-gold,hybrid,4.6,1495,18,pain
4,3537,24k-gold,hybrid,4.6,1496,13,ptsd
26,3538,3-kings,hybrid,4.4,1497,36,stress
14,3538,3-kings,hybrid,4.4,1498,31,depression
13,3538,3-kings,hybrid,4.4,1499,25,anxiety
16,3538,3-kings,hybrid,4.4,1500,22,pain
5,3538,3-kings,hybrid,4.4,1501,18,lack of appetite
26,3539,303-og,indica,4.2,1502,42,stress
14,3539,303-og,indica,4.2,1503,32,depression
16,3539,303-og,indica,4.2,1504,32,pain
20,3539,303-og,indica,4.2,1505,28,insomnia
13,3539,303-og,indica,4.2,1506,28,anxiety
26,3541,3x-crazy,indica,4.4,1507,39,stress
16,3541,3x-crazy,indica,4.4,1508,31,pain
20,3541,3x-crazy,indica,4.4,1509,30,insomnia
14,3541,3x-crazy,indica,4.4,1510,25,depression
13,3541,3x-crazy,indica,4.4,1511,20,anxiety
26,3542,501st-og,hybrid,4.5,1512,33,stress
16,3542,501st-og,hybrid,4.5,1513,32,pain
20,3542,501st-og,hybrid,4.5,1514,30,insomnia
13,3542,501st-og,hybrid,4.5,1515,28,anxiety
14,3542,501st-og,hybrid,4.5,1516,22,depression
26,3543,5th-element,indica,4.4,1517,30,stress
16,3543,5th-element,indica,4.4,1518,22,pain
13,3543,5th-element,indica,4.4,1519,22,anxiety
8,3543,5th-element,indica,4.4,1520,20,muscle spasms
5,3543,5th-element,indica,4.4,1521,17,lack of appetite
26,3544,707-headband,hybrid,4.3,1522,44,stress
16,3544,707-headband,hybrid,4.3,1523,36,pain
13,3544,707-headband,hybrid,4.3,1524,34,anxiety
14,3544,707-headband,hybrid,4.3,1525,30,depression
3,3544,707-headband,hybrid,4.3,1526,19,nausea
16,3545,8-ball-kush,indica,4.3,1527,41,pain
14,3545,8-ball-kush,indica,4.3,1528,33,depression
26,3545,8-ball-kush,indica,4.3,1529,30,stress
11,3545,8-ball-kush,indica,4.3,1530,28,inflammation
20,3545,8-ball-kush,indica,4.3,1531,28,insomnia
16,3548,9-pound-hammer,indica,4.5,1532,30,pain
26,3548,9-pound-hammer,indica,4.5,1533,29,stress
20,3548,9-pound-hammer,indica,4.5,1534,26,insomnia
13,3548,9-pound-hammer,indica,4.5,1535,22,anxiety
14,3548,9-pound-hammer,indica,4.5,1536,20,depression
16,3550,a-10,indica,3.8,1537,45,pain
26,3550,a-10,indica,3.8,1538,42,stress
13,3550,a-10,indica,3.8,1539,38,anxiety
20,3550,a-10,indica,3.8,1540,33,insomnia
23,3550,a-10,indica,3.8,1541,24,migraines
26,3551,a-dub,hybrid,4.4,1542,42,stress
16,3551,a-dub,hybrid,4.4,1543,38,pain
14,3551,a-dub,hybrid,4.4,1544,35,depression
13,3551,a-dub,hybrid,4.4,1545,33,anxiety
25,3551,a-dub,hybrid,4.4,1546,19,headaches
26,3552,a-train,hybrid,4.1,1547,32,stress
14,3552,a-train,hybrid,4.1,1548,29,depression
13,3552,a-train,hybrid,4.1,1549,29,anxiety
16,3552,a-train,hybrid,4.1,1550,28,pain
20,3552,a-train,hybrid,4.1,1551,17,insomnia
16,3553,acdc,hybrid,4.5,1552,43,pain
26,3553,acdc,hybrid,4.5,1553,39,stress
13,3553,acdc,hybrid,4.5,1554,36,anxiety
11,3553,acdc,hybrid,4.5,1555,26,inflammation
14,3553,acdc,hybrid,4.5,1556,24,depression
26,3554,ak-47,hybrid,4.2,1557,40,stress
13,3554,ak-47,hybrid,4.2,1558,28,anxiety
16,3554,ak-47,hybrid,4.2,1559,27,pain
14,3554,ak-47,hybrid,4.2,1560,25,depression
20,3554,ak-47,hybrid,4.2,1561,17,insomnia
26,3555,ak-48,hybrid,4,1562,40,stress
13,3555,ak-48,hybrid,4,1563,29,anxiety
16,3555,ak-48,hybrid,4,1564,28,pain
14,3555,ak-48,hybrid,4,1565,27,depression
20,3555,ak-48,hybrid,4,1566,16,insomnia
16,3557,abusive-og,indica,4.5,1567,39,pain
26,3557,abusive-og,indica,4.5,1568,37,stress
13,3557,abusive-og,indica,4.5,1569,31,anxiety
20,3557,abusive-og,indica,4.5,1570,24,insomnia
14,3557,abusive-og,indica,4.5,1571,22,depression
26,3558,acapulco-gold,sativa,4.5,1572,36,stress
14,3558,acapulco-gold,sativa,4.5,1573,30,depression
13,3558,acapulco-gold,sativa,4.5,1574,27,anxiety
16,3558,acapulco-gold,sativa,4.5,1575,21,pain
21,3558,acapulco-gold,sativa,4.5,1576,17,fatigue
26,3560,ace-of-spades,indica,4.1,1577,42,stress
16,3560,ace-of-spades,indica,4.1,1578,33,pain
13,3560,ace-of-spades,indica,4.1,1579,28,anxiety
14,3560,ace-of-spades,indica,4.1,1580,27,depression
20,3560,ace-of-spades,indica,4.1,1581,26,insomnia
14,3561,aceh,sativa,4.4,1582,50,depression
26,3561,aceh,sativa,4.4,1583,50,stress
20,3561,aceh,sativa,4.4,1584,35,insomnia
25,3561,aceh,sativa,4.4,1585,25,headaches
16,3561,aceh,sativa,4.4,1586,25,pain
26,5300,acid,,,1587,50,stress
14,5300,acid,,,1588,30,depression
3,5300,acid,,,1589,30,nausea
20,5300,acid,,,1590,20,insomnia
16,5300,acid,,,1591,20,pain
26,3566,afghan-diesel,hybrid,3.7,1592,43,stress
13,3566,afghan-diesel,hybrid,3.7,1593,37,anxiety
16,3566,afghan-diesel,hybrid,3.7,1594,31,pain
23,3566,afghan-diesel,hybrid,3.7,1595,25,migraines
14,3566,afghan-diesel,hybrid,3.7,1596,21,depression
26,3568,afghan-haze,hybrid,4.3,1597,31,stress
14,3568,afghan-haze,hybrid,4.3,1598,29,depression
21,3568,afghan-haze,hybrid,4.3,1599,21,fatigue
16,3568,afghan-haze,hybrid,4.3,1600,21,pain
13,3568,afghan-haze,hybrid,4.3,1601,19,anxiety
26,3569,afghan-kush,indica,4.1,1602,40,stress
16,3569,afghan-kush,indica,4.1,1603,33,pain
13,3569,afghan-kush,indica,4.1,1604,31,anxiety
20,3569,afghan-kush,indica,4.1,1605,29,insomnia
14,3569,afghan-kush,indica,4.1,1606,21,depression
26,3570,afghan-skunk,indica,4.3,1607,38,stress
20,3570,afghan-skunk,indica,4.3,1608,26,insomnia
5,3570,afghan-skunk,indica,4.3,1609,26,lack of appetite
13,3570,afghan-skunk,indica,4.3,1610,23,anxiety
14,3570,afghan-skunk,indica,4.3,1611,21,depression
26,3572,afghani,indica,4.3,1612,39,stress
16,3572,afghani,indica,4.3,1613,37,pain
20,3572,afghani,indica,4.3,1614,36,insomnia
13,3572,afghani,indica,4.3,1615,32,anxiety
14,3572,afghani,indica,4.3,1616,19,depression
26,5301,afgahni-bullrider,,,1617,47,stress
16,5301,afgahni-bullrider,,,1618,37,pain
13,5301,afgahni-bullrider,,,1619,35,anxiety
20,5301,afgahni-bullrider,,,1620,32,insomnia
14,5301,afgahni-bullrider,,,1621,23,depression
26,3573,afghani-cbd,indica,4.6,1622,58,stress
16,3573,afghani-cbd,indica,4.6,1623,44,pain
11,3573,afghani-cbd,indica,4.6,1624,41,inflammation
13,3573,afghani-cbd,indica,4.6,1625,36,anxiety
14,3573,afghani-cbd,indica,4.6,1626,33,depression
16,3574,afghanica,hybrid,4.1,1627,53,pain
26,3574,afghanica,hybrid,4.1,1628,53,stress
20,3574,afghanica,hybrid,4.1,1629,46,insomnia
14,3574,afghanica,hybrid,4.1,1630,38,depression
5,3574,afghanica,hybrid,4.1,1631,30,lack of appetite
26,3576,afghooey,indica,4.1,1632,41,stress
16,3576,afghooey,indica,4.1,1633,41,pain
20,3576,afghooey,indica,4.1,1634,32,insomnia
13,3576,afghooey,indica,4.1,1635,32,anxiety
14,3576,afghooey,indica,4.1,1636,20,depression
26,3577,afgoo,indica,4.1,1637,39,stress
20,3577,afgoo,indica,4.1,1638,37,insomnia
16,3577,afgoo,indica,4.1,1639,34,pain
13,3577,afgoo,indica,4.1,1640,29,anxiety
14,3577,afgoo,indica,4.1,1641,20,depression
26,3578,afgooey,indica,4.3,1642,41,stress
16,3578,afgooey,indica,4.3,1643,41,pain
20,3578,afgooey,indica,4.3,1644,32,insomnia
13,3578,afgooey,indica,4.3,1645,32,anxiety
14,3578,afgooey,indica,4.3,1646,20,depression
5,3581,african,sativa,3.9,1647,32,lack of appetite
14,3581,african,sativa,3.9,1648,28,depression
21,3581,african,sativa,3.9,1649,28,fatigue
26,3581,african,sativa,3.9,1650,24,stress
25,3581,african,sativa,3.9,1651,16,headaches
14,3583,afternoon-delight,hybrid,4.8,1652,40,depression
20,3583,afternoon-delight,hybrid,4.8,1653,25,insomnia
16,3583,afternoon-delight,hybrid,4.8,1654,25,pain
12,3583,afternoon-delight,hybrid,4.8,1655,20,cramps
5,3583,afternoon-delight,hybrid,4.8,1656,20,lack of appetite
26,3584,afwreck,hybrid,4.2,1657,41,stress
13,3584,afwreck,hybrid,4.2,1658,33,anxiety
16,3584,afwreck,hybrid,4.2,1659,31,pain
14,3584,afwreck,hybrid,4.2,1660,25,depression
20,3584,afwreck,hybrid,4.2,1661,23,insomnia
26,3585,agent-orange,hybrid,4.2,1662,36,stress
13,3585,agent-orange,hybrid,4.2,1663,28,anxiety
14,3585,agent-orange,hybrid,4.2,1664,27,depression
16,3585,agent-orange,hybrid,4.2,1665,21,pain
21,3585,agent-orange,hybrid,4.2,1666,14,fatigue
26,3587,alaska,sativa,4.6,1667,28,stress
14,3587,alaska,sativa,4.6,1668,26,depression
13,3587,alaska,sativa,4.6,1669,16,anxiety
16,3587,alaska,sativa,4.6,1670,14,pain
25,3587,alaska,sativa,4.6,1671,12,headaches
13,3588,alaskan-ice,sativa,4.4,1672,45,anxiety
26,3588,alaskan-ice,sativa,4.4,1673,37,stress
14,3588,alaskan-ice,sativa,4.4,1674,35,depression
16,3588,alaskan-ice,sativa,4.4,1675,20,pain
21,3588,alaskan-ice,sativa,4.4,1676,16,fatigue
26,3589,alaskan-thunder-fuck,sativa,4.4,1677,38,stress
13,3589,alaskan-thunder-fuck,sativa,4.4,1678,29,anxiety
14,3589,alaskan-thunder-fuck,sativa,4.4,1679,28,depression
16,3589,alaskan-thunder-fuck,sativa,4.4,1680,25,pain
21,3589,alaskan-thunder-fuck,sativa,4.4,1681,13,fatigue
16,3590,albert-walker,hybrid,4.7,1682,36,pain
26,3590,albert-walker,hybrid,4.7,1683,34,stress
13,3590,albert-walker,hybrid,4.7,1684,32,anxiety
14,3590,albert-walker,hybrid,4.7,1685,30,depression
20,3590,albert-walker,hybrid,4.7,1686,26,insomnia
26,3592,alice-in-wonderland,sativa,4.5,1687,32,stress
14,3592,alice-in-wonderland,sativa,4.5,1688,31,depression
13,3592,alice-in-wonderland,sativa,4.5,1689,24,anxiety
21,3592,alice-in-wonderland,sativa,4.5,1690,21,fatigue
2,3592,alice-in-wonderland,sativa,4.5,1691,16,add/adhd
26,3596,alien-bubba,indica,5,1692,38,stress
16,3596,alien-bubba,indica,5,1693,28,pain
20,3596,alien-bubba,indica,5,1694,25,insomnia
14,3596,alien-bubba,indica,5,1695,23,depression
13,3596,alien-bubba,indica,5,1696,22,anxiety
26,3597,alien-dawg,indica,4.3,1697,40,stress
16,3597,alien-dawg,indica,4.3,1698,32,pain
13,3597,alien-dawg,indica,4.3,1699,31,anxiety
20,3597,alien-dawg,indica,4.3,1700,29,insomnia
14,3597,alien-dawg,indica,4.3,1701,22,depression
26,3599,alien-hallucination,hybrid,4.1,1702,40,stress
14,3599,alien-hallucination,hybrid,4.1,1703,37,depression
16,3599,alien-hallucination,hybrid,4.1,1704,25,pain
8,3599,alien-hallucination,hybrid,4.1,1705,22,muscle spasms
13,3599,alien-hallucination,hybrid,4.1,1706,22,anxiety
26,3600,alien-kush,indica,4.2,1707,39,stress
16,3600,alien-kush,indica,4.2,1708,36,pain
13,3600,alien-kush,indica,4.2,1709,32,anxiety
14,3600,alien-kush,indica,4.2,1710,27,depression
20,3600,alien-kush,indica,4.2,1711,22,insomnia
26,3601,alien-og,hybrid,4.5,1712,33,stress
16,3601,alien-og,hybrid,4.5,1713,27,pain
13,3601,alien-og,hybrid,4.5,1714,26,anxiety
14,3601,alien-og,hybrid,4.5,1715,24,depression
20,3601,alien-og,hybrid,4.5,1716,18,insomnia
26,3603,alien-rift,indica,4.6,1717,50,stress
13,3603,alien-rift,indica,4.6,1718,39,anxiety
14,3603,alien-rift,indica,4.6,1719,34,depression
16,3603,alien-rift,indica,4.6,1720,34,pain
20,3603,alien-rift,indica,4.6,1721,31,insomnia
16,3604,alien-rock-candy,hybrid,4.7,1722,32,pain
26,3604,alien-rock-candy,hybrid,4.7,1723,31,stress
20,3604,alien-rock-candy,hybrid,4.7,1724,29,insomnia
14,3604,alien-rock-candy,hybrid,4.7,1725,24,depression
13,3604,alien-rock-candy,hybrid,4.7,1726,16,anxiety
26,3610,allen-wrench,sativa,4.3,1727,32,stress
14,3610,allen-wrench,sativa,4.3,1728,30,depression
13,3610,allen-wrench,sativa,4.3,1729,20,anxiety
16,3610,allen-wrench,sativa,4.3,1730,17,pain
21,3610,allen-wrench,sativa,4.3,1731,16,fatigue
16,3612,aloha,sativa,4.2,1732,40,pain
14,3612,aloha,sativa,4.2,1733,37,depression
26,3612,aloha,sativa,4.2,1734,37,stress
3,3612,aloha,sativa,4.2,1735,25,nausea
23,3612,aloha,sativa,4.2,1736,25,migraines
26,3613,alohaberry,hybrid,4.2,1737,69,stress
16,3613,alohaberry,hybrid,4.2,1738,39,pain
13,3613,alohaberry,hybrid,4.2,1739,34,anxiety
14,3613,alohaberry,hybrid,4.2,1740,30,depression
3,3613,alohaberry,hybrid,4.2,1741,26,nausea
26,3614,alpha-blue,sativa,4.5,1742,36,stress
14,3614,alpha-blue,sativa,4.5,1743,35,depression
13,3614,alpha-blue,sativa,4.5,1744,33,anxiety
16,3614,alpha-blue,sativa,4.5,1745,22,pain
21,3614,alpha-blue,sativa,4.5,1746,20,fatigue
16,3617,alpha-og,hybrid,4.6,1747,46,pain
20,3617,alpha-og,hybrid,4.6,1748,42,insomnia
26,3617,alpha-og,hybrid,4.6,1749,42,stress
25,3617,alpha-og,hybrid,4.6,1750,38,headaches
14,3617,alpha-og,hybrid,4.6,1751,34,depression
26,3619,ambrosia,hybrid,4.4,1752,50,stress
14,3619,ambrosia,hybrid,4.4,1753,29,depression
13,3619,ambrosia,hybrid,4.4,1754,27,anxiety
16,3619,ambrosia,hybrid,4.4,1755,25,pain
3,3619,ambrosia,hybrid,4.4,1756,16,nausea
16,3621,american-kush,indica,4.8,1757,61,pain
8,3621,american-kush,indica,4.8,1758,46,muscle spasms
25,3621,american-kush,indica,4.8,1759,38,headaches
26,3621,american-kush,indica,4.8,1760,38,stress
23,3621,american-kush,indica,4.8,1761,38,migraines
26,3625,amnesia,sativa,4.3,1762,25,stress
14,3625,amnesia,sativa,4.3,1763,21,depression
16,3625,amnesia,sativa,4.3,1764,15,pain
13,3625,amnesia,sativa,4.3,1765,14,anxiety
21,3625,amnesia,sativa,4.3,1766,9,fatigue
26,3627,amnesia-haze,sativa,4.3,1767,37,stress
14,3627,amnesia-haze,sativa,4.3,1768,30,depression
13,3627,amnesia-haze,sativa,4.3,1769,25,anxiety
16,3627,amnesia-haze,sativa,4.3,1770,22,pain
21,3627,amnesia-haze,sativa,4.3,1771,14,fatigue
26,3629,ancient-og,indica,4.6,1772,37,stress
14,3629,ancient-og,indica,4.6,1773,35,depression
16,3629,ancient-og,indica,4.6,1774,28,pain
13,3629,ancient-og,indica,4.6,1775,26,anxiety
20,3629,ancient-og,indica,4.6,1776,24,insomnia
16,3630,anesthesia,indica,4.1,1777,52,pain
26,3630,anesthesia,indica,4.1,1778,44,stress
13,3630,anesthesia,indica,4.1,1779,39,anxiety
20,3630,anesthesia,indica,4.1,1780,36,insomnia
14,3630,anesthesia,indica,4.1,1781,18,depression
26,3632,animal-cookies,hybrid,4.5,1782,33,stress
16,3632,animal-cookies,hybrid,4.5,1783,30,pain
13,3632,animal-cookies,hybrid,4.5,1784,25,anxiety
14,3632,animal-cookies,hybrid,4.5,1785,24,depression
20,3632,animal-cookies,hybrid,4.5,1786,21,insomnia
26,3635,apollo-11,hybrid,4.4,1787,57,stress
16,3635,apollo-11,hybrid,4.4,1788,36,pain
13,3635,apollo-11,hybrid,4.4,1789,31,anxiety
14,3635,apollo-11,hybrid,4.4,1790,23,depression
21,3635,apollo-11,hybrid,4.4,1791,19,fatigue
26,3636,apollo-13,hybrid,4.4,1792,41,stress
13,3636,apollo-13,hybrid,4.4,1793,35,anxiety
14,3636,apollo-13,hybrid,4.4,1794,31,depression
21,3636,apollo-13,hybrid,4.4,1795,20,fatigue
16,3636,apollo-13,hybrid,4.4,1796,19,pain
14,3639,apple-jack,hybrid,3.6,1797,18,depression
26,3639,apple-jack,hybrid,3.6,1798,18,stress
16,3639,apple-jack,hybrid,3.6,1799,14,pain
13,3639,apple-jack,hybrid,3.6,1800,14,anxiety
21,3639,apple-jack,hybrid,3.6,1801,10,fatigue
26,3640,apple-kush,hybrid,4.6,1802,45,stress
14,3640,apple-kush,hybrid,4.6,1803,29,depression
20,3640,apple-kush,hybrid,4.6,1804,29,insomnia
16,3640,apple-kush,hybrid,4.6,1805,29,pain
13,3640,apple-kush,hybrid,4.6,1806,25,anxiety
26,3644,area-51,hybrid,4.4,1807,35,stress
14,3644,area-51,hybrid,4.4,1808,28,depression
13,3644,area-51,hybrid,4.4,1809,17,anxiety
16,3644,area-51,hybrid,4.4,1810,14,pain
10,3644,area-51,hybrid,4.4,1811,14,bipolar disorder
16,3645,argyle,indica,3.9,1812,58,pain
11,3645,argyle,indica,3.9,1813,41,inflammation
26,3645,argyle,indica,3.9,1814,41,stress
13,3645,argyle,indica,3.9,1815,33,anxiety
8,3645,argyle,indica,3.9,1816,25,muscle spasms
14,5302,arjans-strawberry-haze,,,1817,36,depression
26,5302,arjans-strawberry-haze,,,1818,32,stress
13,5302,arjans-strawberry-haze,,,1819,24,anxiety
16,5302,arjans-strawberry-haze,,,1820,16,pain
20,5302,arjans-strawberry-haze,,,1821,8,insomnia
16,3646,armageddon,hybrid,4,1822,29,pain
26,3646,armageddon,hybrid,4,1823,25,stress
13,3646,armageddon,hybrid,4,1824,25,anxiety
14,3646,armageddon,hybrid,4,1825,22,depression
25,3646,armageddon,hybrid,4,1826,16,headaches
26,3649,asian-fantasy,sativa,4.4,1827,39,stress
14,3649,asian-fantasy,sativa,4.4,1828,23,depression
13,3649,asian-fantasy,sativa,4.4,1829,20,anxiety
16,3649,asian-fantasy,sativa,4.4,1830,13,pain
21,3649,asian-fantasy,sativa,4.4,1831,11,fatigue
26,3654,atomic-northern-lights,hybrid,4.2,1832,41,stress
13,3654,atomic-northern-lights,hybrid,4.2,1833,34,anxiety
16,3654,atomic-northern-lights,hybrid,4.2,1834,31,pain
14,3654,atomic-northern-lights,hybrid,4.2,1835,26,depression
20,3654,atomic-northern-lights,hybrid,4.2,1836,21,insomnia
26,3657,aurora-indica,indica,4.4,1837,41,stress
16,3657,aurora-indica,indica,4.4,1838,38,pain
20,3657,aurora-indica,indica,4.4,1839,34,insomnia
14,3657,aurora-indica,indica,4.4,1840,30,depression
13,3657,aurora-indica,indica,4.4,1841,26,anxiety
16,5303,avi-dekel,,,1842,70,pain
11,5303,avi-dekel,,,1843,55,inflammation
26,5303,avi-dekel,,,1844,52,stress
13,5303,avi-dekel,,,1845,50,anxiety
14,5303,avi-dekel,,,1846,41,depression
16,3659,ayahuasca-purple,indica,4.4,1847,38,pain
26,3659,ayahuasca-purple,indica,4.4,1848,38,stress
13,3659,ayahuasca-purple,indica,4.4,1849,38,anxiety
20,3659,ayahuasca-purple,indica,4.4,1850,36,insomnia
14,3659,ayahuasca-purple,indica,4.4,1851,31,depression
26,3661,b-52,indica,4.1,1852,36,stress
20,3661,b-52,indica,4.1,1853,26,insomnia
14,3661,b-52,indica,4.1,1854,23,depression
5,3661,b-52,indica,4.1,1855,20,lack of appetite
16,3661,b-52,indica,4.1,1856,20,pain
26,3662,bc-big-bud,hybrid,4.5,1857,51,stress
16,3662,bc-big-bud,hybrid,4.5,1858,42,pain
14,3662,bc-big-bud,hybrid,4.5,1859,36,depression
5,3662,bc-big-bud,hybrid,4.5,1860,36,lack of appetite
13,3662,bc-big-bud,hybrid,4.5,1861,34,anxiety
26,3663,bc-roadkill,hybrid,4.5,1862,44,stress
13,3663,bc-roadkill,hybrid,4.5,1863,37,anxiety
16,3663,bc-roadkill,hybrid,4.5,1864,31,pain
14,3663,bc-roadkill,hybrid,4.5,1865,20,depression
3,3663,bc-roadkill,hybrid,4.5,1866,20,nausea
20,3664,bc-sweet-tooth,indica,4.3,1867,52,insomnia
26,3664,bc-sweet-tooth,indica,4.3,1868,52,stress
14,3664,bc-sweet-tooth,indica,4.3,1869,34,depression
3,3664,bc-sweet-tooth,indica,4.3,1870,34,nausea
13,3664,bc-sweet-tooth,indica,4.3,1871,34,anxiety
14,5304,bsc,,,1872,45,depression
26,5304,bsc,,,1873,45,stress
16,5304,bsc,,,1874,38,pain
13,5304,bsc,,,1875,38,anxiety
5,5304,bsc,,,1876,25,lack of appetite
16,3666,bakerstreet,indica,3.7,1877,50,pain
26,3666,bakerstreet,indica,3.7,1878,37,stress
14,3666,bakerstreet,indica,3.7,1879,33,depression
13,3666,bakerstreet,indica,3.7,1880,33,anxiety
20,3666,bakerstreet,indica,3.7,1881,25,insomnia
26,5305,balmoral,,,1882,33,stress
14,5305,balmoral,,,1883,29,depression
16,5305,balmoral,,,1884,20,pain
21,5305,balmoral,,,1885,12,fatigue
25,5305,balmoral,,,1886,12,headaches
16,3667,banana-candy,indica,4.2,1887,53,pain
26,3667,banana-candy,indica,4.2,1888,46,stress
13,3667,banana-candy,indica,4.2,1889,46,anxiety
20,3667,banana-candy,indica,4.2,1890,26,insomnia
8,3667,banana-candy,indica,4.2,1891,26,muscle spasms
14,5306,banana-cream-og,,,1892,35,depression
26,5306,banana-cream-og,,,1893,35,stress
16,5306,banana-cream-og,,,1894,23,pain
20,5306,banana-cream-og,,,1895,17,insomnia
3,5306,banana-cream-og,,,1896,17,nausea
26,3668,banana-diesel,hybrid,4.4,1897,43,stress
14,3668,banana-diesel,hybrid,4.4,1898,29,depression
16,3668,banana-diesel,hybrid,4.4,1899,29,pain
13,3668,banana-diesel,hybrid,4.4,1900,29,anxiety
23,3668,banana-diesel,hybrid,4.4,1901,19,migraines
26,3669,banana-kush,hybrid,4.3,1902,34,stress
13,3669,banana-kush,hybrid,4.3,1903,26,anxiety
16,3669,banana-kush,hybrid,4.3,1904,24,pain
14,3669,banana-kush,hybrid,4.3,1905,21,depression
20,3669,banana-kush,hybrid,4.3,1906,17,insomnia
26,3670,banana-og,hybrid,4.4,1907,30,stress
16,3670,banana-og,hybrid,4.4,1908,26,pain
13,3670,banana-og,hybrid,4.4,1909,25,anxiety
20,3670,banana-og,hybrid,4.4,1910,23,insomnia
14,3670,banana-og,hybrid,4.4,1911,18,depression
16,3674,barbara-bud,indica,3.6,1912,40,pain
26,3674,barbara-bud,indica,3.6,1913,40,stress
20,3674,barbara-bud,indica,3.6,1914,33,insomnia
14,3674,barbara-bud,indica,3.6,1915,23,depression
5,3674,barbara-bud,indica,3.6,1916,23,lack of appetite
14,3677,bay-11,sativa,4.5,1917,28,depression
26,3677,bay-11,sativa,4.5,1918,23,stress
16,3677,bay-11,sativa,4.5,1919,22,pain
21,3677,bay-11,sativa,4.5,1920,19,fatigue
13,3677,bay-11,sativa,4.5,1921,16,anxiety
14,3678,bay-dream,sativa,4.3,1922,26,depression
26,3678,bay-dream,sativa,4.3,1923,24,stress
13,3678,bay-dream,sativa,4.3,1924,21,anxiety
16,3678,bay-dream,sativa,4.3,1925,15,pain
21,3678,bay-dream,sativa,4.3,1926,13,fatigue
14,3679,bear-dance,hybrid,4.8,1927,41,depression
26,3679,bear-dance,hybrid,4.8,1928,41,stress
13,3679,bear-dance,hybrid,4.8,1929,37,anxiety
16,3679,bear-dance,hybrid,4.8,1930,24,pain
21,3679,bear-dance,hybrid,4.8,1931,13,fatigue
26,3680,beast-mode-og,hybrid,4.4,1932,36,stress
16,3680,beast-mode-og,hybrid,4.4,1933,28,pain
13,3680,beast-mode-og,hybrid,4.4,1934,28,anxiety
21,3680,beast-mode-og,hybrid,4.4,1935,16,fatigue
5,3680,beast-mode-og,hybrid,4.4,1936,16,lack of appetite
23,3684,belladonna,hybrid,4,1937,38,migraines
26,3684,belladonna,hybrid,4,1938,33,stress
16,3684,belladonna,hybrid,4,1939,23,pain
