,anxious,dizzy,dry eyes,dry mouth,headache,paranoid,creative,energetic,euphoric,focused,happy,hungry,relaxed,sleepy,anxiety,depression,fatigue,headaches,lack of appetite,pain,stress,strain_id
0,,13.0,31.0,46.0,11.0,13.0,42.0,,52.0,26.0,40.0,,,,48.0,25.0,,,,38.0,50.0,3534
1,,6.0,25.0,25.0,,,31.0,37.0,,,62.0,,50.0,,18.0,15.0,,,,21.0,21.0,3535
2,2.0,6.0,10.0,21.0,2.0,,24.0,,41.0,,57.0,,59.0,,23.0,25.0,,,,18.0,28.0,3537
3,3.0,6.0,13.0,22.0,,3.0,33.0,,48.0,,62.0,,66.0,,25.0,31.0,,,18.0,22.0,36.0,3538
4,3.0,5.0,9.0,21.0,,,,,50.0,,73.0,,90.0,46.0,28.0,32.0,,,,32.0,42.0,3539
5,3.0,3.0,14.0,22.0,,1.0,,,46.0,,54.0,,82.0,40.0,20.0,25.0,,,,31.0,39.0,3541
6,1.0,1.0,5.0,19.0,1.0,,,,45.0,,59.0,,89.0,41.0,28.0,22.0,,,,32.0,33.0,3542
7,,5.0,12.0,10.0,5.0,5.0,32.0,,47.0,,62.0,,95.0,,22.0,,,,17.0,22.0,30.0,3543
8,,7.0,16.0,33.0,7.0,7.0,44.0,,48.0,,49.0,,43.0,,34.0,30.0,,,,36.0,44.0,3544
9,5.0,,12.0,20.0,7.0,7.0,35.0,33.0,,,53.0,,87.0,,,33.0,,,,41.0,30.0,3545
10,1.0,3.0,8.0,19.0,2.0,,,,32.0,,34.0,20.0,67.0,48.0,22.0,20.0,,,,30.0,29.0,3548
11,,8.0,24.0,37.0,5.0,11.0,44.0,26.0,43.0,,39.0,,,24.0,38.0,,,,,45.0,42.0,3550
12,4.0,,19.0,30.0,4.0,2.0,28.0,,59.0,,76.0,,73.0,,33.0,35.0,,19.0,,38.0,42.0,3551
13,7.0,7.0,10.0,31.0,,8.0,,,46.0,,68.0,31.0,40.0,,29.0,29.0,,,,28.0,32.0,3552
14,2.0,2.0,4.0,11.0,2.0,,,18.0,,34.0,41.0,,64.0,,36.0,24.0,,,,43.0,39.0,3553
15,,10.0,24.0,41.0,6.0,9.0,36.0,,46.0,,58.0,,45.0,,28.0,25.0,,,,27.0,40.0,3554
16,,8.0,16.0,34.0,4.0,10.0,33.0,,48.0,,61.0,,48.0,,29.0,27.0,,,,28.0,40.0,3555
17,,6.0,13.0,26.0,1.0,2.0,,,43.0,,49.0,,79.0,44.0,31.0,22.0,,,,39.0,37.0,3557
18,5.0,4.0,16.0,25.0,,6.0,43.0,40.0,49.0,,62.0,,,,27.0,30.0,17.0,,,21.0,36.0,3558
19,2.0,7.0,19.0,32.0,,3.0,,,48.0,,55.0,,71.0,36.0,28.0,27.0,,,,33.0,42.0,3560
20,5.0,10.0,5.0,45.0,,5.0,85.0,,50.0,60.0,95.0,,80.0,,,50.0,,25.0,,25.0,50.0,3561
21,3.0,6.0,21.0,21.0,,15.0,25.0,,59.0,,53.0,,40.0,,37.0,21.0,,,,31.0,43.0,3566
22,2.0,12.0,9.0,21.0,4.0,,48.0,,41.0,,60.0,,65.0,,19.0,29.0,21.0,,,21.0,31.0,3568
23,,12.0,30.0,46.0,6.0,9.0,,,42.0,,46.0,42.0,51.0,47.0,31.0,21.0,,,,33.0,40.0,3569
24,,7.0,14.0,33.0,7.0,4.0,,,,28.0,61.0,30.0,66.0,54.0,23.0,21.0,,,26.0,,38.0,3570
25,,9.0,21.0,34.0,4.0,4.0,,,42.0,,44.0,28.0,64.0,54.0,32.0,19.0,,,,37.0,39.0,3572
26,,5.0,13.0,25.0,2.0,,27.0,,,,63.0,,88.0,50.0,36.0,33.0,,,,44.0,58.0,3573
27,15.0,30.0,23.0,53.0,,7.0,,,76.0,,84.0,53.0,92.0,53.0,,38.0,,,30.0,53.0,53.0,3574
28,,6.0,17.0,32.0,3.0,11.0,,,50.0,,46.0,,47.0,34.0,32.0,20.0,,,,41.0,41.0,3576
29,,8.0,19.0,35.0,3.0,5.0,,,45.0,,45.0,27.0,52.0,45.0,29.0,20.0,,,,34.0,39.0,3577
30,,6.0,17.0,32.0,3.0,11.0,,,50.0,,46.0,,47.0,34.0,32.0,20.0,,,,41.0,41.0,3578
31,8.0,,20.0,36.0,12.0,16.0,,52.0,52.0,,72.0,,,,,28.0,28.0,16.0,32.0,,24.0,3581
32,10.0,20.0,15.0,20.0,,20.0,,,60.0,,40.0,40.0,70.0,,,40.0,,,20.0,25.0,,3583
33,,10.0,23.0,36.0,8.0,8.0,32.0,,55.0,,48.0,,24.0,,33.0,25.0,,,,31.0,41.0,3584
34,4.0,5.0,15.0,29.0,,6.0,,42.0,41.0,,62.0,,43.0,,28.0,27.0,14.0,,,21.0,36.0,3585
35,6.0,8.0,8.0,12.0,,8.0,,44.0,34.0,,42.0,,40.0,,16.0,26.0,,12.0,,14.0,28.0,3587
36,,5.0,13.0,30.0,3.0,5.0,,42.0,66.0,,69.0,,49.0,,45.0,35.0,16.0,,,20.0,37.0,3588
37,,8.0,18.0,34.0,4.0,7.0,37.0,43.0,54.0,,57.0,,,,29.0,28.0,13.0,,,25.0,38.0,3589
38,,4.0,10.0,16.0,8.0,4.0,,,57.0,28.0,73.0,44.0,79.0,,32.0,30.0,,,,36.0,34.0,3590
39,5.0,2.0,10.0,21.0,,5.0,49.0,,59.0,,62.0,,50.0,,24.0,31.0,21.0,,,,32.0,3592
40,1.0,4.0,5.0,21.0,2.0,,,,40.0,,33.0,,70.0,40.0,22.0,23.0,,,,28.0,38.0,3596
41,4.0,10.0,18.0,27.0,,5.0,,,50.0,,50.0,,66.0,45.0,31.0,22.0,,,,32.0,40.0,3597
42,3.0,3.0,11.0,18.0,,11.0,44.0,,62.0,,70.0,,59.0,,22.0,37.0,,,,25.0,40.0,3599
43,7.0,13.0,18.0,36.0,,14.0,30.0,,50.0,,46.0,,59.0,,32.0,27.0,,,,36.0,39.0,3600
44,,6.0,14.0,23.0,4.0,6.0,29.0,,53.0,,53.0,,61.0,,26.0,24.0,,,,27.0,33.0,3601
45,7.0,2.0,7.0,15.0,,7.0,,,57.0,,71.0,44.0,81.0,,39.0,34.0,,,,34.0,50.0,3603
46,2.0,7.0,11.0,24.0,,4.0,,,60.0,,58.0,,72.0,29.0,16.0,24.0,,,,32.0,31.0,3604
47,6.0,5.0,10.0,30.0,,6.0,52.0,54.0,,49.0,61.0,,,,20.0,30.0,16.0,,,17.0,32.0,3610
48,3.0,7.0,11.0,22.0,,,48.0,51.0,,29.0,55.0,,,,,37.0,,,,40.0,37.0,3612
