effect_id,strain_id,name,type,rating,strain_effect_id,percent,name
62,3534,100-og,hybrid,4,2,52,euphoric
68,3534,100-og,hybrid,4,3,42,creative
66,3534,100-og,hybrid,4,4,40,happy
71,3534,100-og,hybrid,4,5,38,uplifted
74,3534,100-og,hybrid,4,6,26,focused
66,3535,1024,sativa,4.4,7,62,happy
73,3535,1024,sativa,4.4,8,50,relaxed
71,3535,1024,sativa,4.4,9,43,uplifted
72,3535,1024,sativa,4.4,10,37,energetic
68,3535,1024,sativa,4.4,11,31,creative
73,3537,24k-gold,hybrid,4.6,12,59,relaxed
66,3537,24k-gold,hybrid,4.6,13,57,happy
71,3537,24k-gold,hybrid,4.6,14,43,uplifted
62,3537,24k-gold,hybrid,4.6,15,41,euphoric
68,3537,24k-gold,hybrid,4.6,16,24,creative
73,3538,3-kings,hybrid,4.4,17,66,relaxed
66,3538,3-kings,hybrid,4.4,18,62,happy
62,3538,3-kings,hybrid,4.4,19,48,euphoric
71,3538,3-kings,hybrid,4.4,20,48,uplifted
68,3538,3-kings,hybrid,4.4,21,33,creative
73,3539,303-og,indica,4.2,22,90,relaxed
66,3539,303-og,indica,4.2,23,73,happy
62,3539,303-og,indica,4.2,24,50,euphoric
69,3539,303-og,indica,4.2,25,46,sleepy
71,3539,303-og,indica,4.2,26,46,uplifted
73,3541,3x-crazy,indica,4.4,27,82,relaxed
66,3541,3x-crazy,indica,4.4,28,54,happy
62,3541,3x-crazy,indica,4.4,29,46,euphoric
69,3541,3x-crazy,indica,4.4,30,40,sleepy
71,3541,3x-crazy,indica,4.4,31,30,uplifted
73,3542,501st-og,hybrid,4.5,32,89,relaxed
66,3542,501st-og,hybrid,4.5,33,59,happy
62,3542,501st-og,hybrid,4.5,34,45,euphoric
69,3542,501st-og,hybrid,4.5,35,41,sleepy
71,3542,501st-og,hybrid,4.5,36,25,uplifted
73,3543,5th-element,indica,4.4,37,95,relaxed
66,3543,5th-element,indica,4.4,38,62,happy
62,3543,5th-element,indica,4.4,39,47,euphoric
71,3543,5th-element,indica,4.4,40,35,uplifted
68,3543,5th-element,indica,4.4,41,32,creative
66,3544,707-headband,hybrid,4.3,42,49,happy
62,3544,707-headband,hybrid,4.3,43,48,euphoric
68,3544,707-headband,hybrid,4.3,44,44,creative
73,3544,707-headband,hybrid,4.3,45,43,relaxed
71,3544,707-headband,hybrid,4.3,46,42,uplifted
73,3545,8-ball-kush,indica,4.3,47,87,relaxed
66,3545,8-ball-kush,indica,4.3,48,53,happy
71,3545,8-ball-kush,indica,4.3,49,46,uplifted
68,3545,8-ball-kush,indica,4.3,50,35,creative
72,3545,8-ball-kush,indica,4.3,51,33,energetic
73,3548,9-pound-hammer,indica,4.5,52,67,relaxed
69,3548,9-pound-hammer,indica,4.5,53,48,sleepy
66,3548,9-pound-hammer,indica,4.5,54,34,happy
62,3548,9-pound-hammer,indica,4.5,55,32,euphoric
67,3548,9-pound-hammer,indica,4.5,56,20,hungry
68,3550,a-10,indica,3.8,57,44,creative
62,3550,a-10,indica,3.8,58,43,euphoric
66,3550,a-10,indica,3.8,59,39,happy
72,3550,a-10,indica,3.8,60,26,energetic
69,3550,a-10,indica,3.8,61,24,sleepy
66,3551,a-dub,hybrid,4.4,62,76,happy
73,3551,a-dub,hybrid,4.4,63,73,relaxed
62,3551,a-dub,hybrid,4.4,64,59,euphoric
71,3551,a-dub,hybrid,4.4,65,42,uplifted
68,3551,a-dub,hybrid,4.4,66,28,creative
66,3552,a-train,hybrid,4.1,67,68,happy
62,3552,a-train,hybrid,4.1,68,46,euphoric
73,3552,a-train,hybrid,4.1,69,40,relaxed
71,3552,a-train,hybrid,4.1,70,38,uplifted
67,3552,a-train,hybrid,4.1,71,31,hungry
73,3553,acdc,hybrid,4.5,72,64,relaxed
66,3553,acdc,hybrid,4.5,73,41,happy
71,3553,acdc,hybrid,4.5,74,35,uplifted
74,3553,acdc,hybrid,4.5,75,34,focused
72,3553,acdc,hybrid,4.5,76,18,energetic
66,3554,ak-47,hybrid,4.2,77,58,happy
62,3554,ak-47,hybrid,4.2,78,46,euphoric
71,3554,ak-47,hybrid,4.2,79,45,uplifted
73,3554,ak-47,hybrid,4.2,80,45,relaxed
68,3554,ak-47,hybrid,4.2,81,36,creative
66,3555,ak-48,hybrid,4,82,61,happy
71,3555,ak-48,hybrid,4,83,52,uplifted
62,3555,ak-48,hybrid,4,84,48,euphoric
73,3555,ak-48,hybrid,4,85,48,relaxed
68,3555,ak-48,hybrid,4,86,33,creative
73,3557,abusive-og,indica,4.5,87,79,relaxed
66,3557,abusive-og,indica,4.5,88,49,happy
69,3557,abusive-og,indica,4.5,89,44,sleepy
62,3557,abusive-og,indica,4.5,90,43,euphoric
71,3557,abusive-og,indica,4.5,91,28,uplifted
66,3558,acapulco-gold,sativa,4.5,92,62,happy
71,3558,acapulco-gold,sativa,4.5,93,55,uplifted
62,3558,acapulco-gold,sativa,4.5,94,49,euphoric
68,3558,acapulco-gold,sativa,4.5,95,43,creative
72,3558,acapulco-gold,sativa,4.5,96,40,energetic
73,3560,ace-of-spades,indica,4.1,97,71,relaxed
66,3560,ace-of-spades,indica,4.1,98,55,happy
62,3560,ace-of-spades,indica,4.1,99,48,euphoric
69,3560,ace-of-spades,indica,4.1,100,36,sleepy
71,3560,ace-of-spades,indica,4.1,101,36,uplifted
66,3561,aceh,sativa,4.4,102,95,happy
68,3561,aceh,sativa,4.4,103,85,creative
73,3561,aceh,sativa,4.4,104,80,relaxed
74,3561,aceh,sativa,4.4,105,60,focused
62,3561,aceh,sativa,4.4,106,50,euphoric
66,5300,acid,,,107,95,happy
68,5300,acid,,,108,70,creative
