flavor_id,strain_id,name,type,rating,strain_flavor_id,name
33,3534,100-og,hybrid,4,2,earthy
8,3534,100-og,hybrid,4,3,sweet
3,3534,100-og,hybrid,4,4,citrus
31,3535,1024,sativa,4.4,5,spicy/herbal
35,3535,1024,sativa,4.4,6,sage
45,3535,1024,sativa,4.4,7,woody
49,3536,13-dawgs,hybrid,4.2,8,apricot
3,3536,13-dawgs,hybrid,4.2,9,citrus
4,3536,13-dawgs,hybrid,4.2,10,grapefruit
3,3537,24k-gold,hybrid,4.6,11,citrus
33,3537,24k-gold,hybrid,4.6,12,earthy
20,3537,24k-gold,hybrid,4.6,13,orange
33,3538,3-kings,hybrid,4.4,14,earthy
8,3538,3-kings,hybrid,4.4,15,sweet
9,3538,3-kings,hybrid,4.4,16,pungent
3,3539,303-og,indica,4.2,17,citrus
9,3539,303-og,indica,4.2,18,pungent
33,3539,303-og,indica,4.2,19,earthy
33,3540,3d-cbd,sativa,4.6,20,earthy
45,3540,3d-cbd,sativa,4.6,21,woody
39,3540,3d-cbd,sativa,4.6,22,flowery
33,3541,3x-crazy,indica,4.4,23,earthy
17,3541,3x-crazy,indica,4.4,24,grape
8,3541,3x-crazy,indica,4.4,25,sweet
33,3542,501st-og,hybrid,4.5,26,earthy
36,3542,501st-og,hybrid,4.5,27,pine
18,3542,501st-og,hybrid,4.5,28,skunk
33,3543,5th-element,indica,4.4,29,earthy
45,3543,5th-element,indica,4.4,30,woody
36,3543,5th-element,indica,4.4,31,pine
33,3544,707-headband,hybrid,4.3,32,earthy
45,3544,707-headband,hybrid,4.3,33,woody
9,3544,707-headband,hybrid,4.3,34,pungent
3,3545,8-ball-kush,indica,4.3,35,citrus
33,3545,8-ball-kush,indica,4.3,36,earthy
36,3545,8-ball-kush,indica,4.3,37,pine
33,3546,818-og,indica,4.7,38,earthy
42,3546,818-og,indica,4.7,39,diesel
39,3546,818-og,indica,4.7,40,flowery
33,3548,9-pound-hammer,indica,4.5,41,earthy
8,3548,9-pound-hammer,indica,4.5,42,sweet
28,3548,9-pound-hammer,indica,4.5,43,berry
33,3549,91-krypt,indica,4.7,44,earthy
9,3549,91-krypt,indica,4.7,45,pungent
28,3549,91-krypt,indica,4.7,46,berry
3,3550,a-10,indica,3.8,47,citrus
9,3550,a-10,indica,3.8,48,pungent
8,3550,a-10,indica,3.8,49,sweet
42,3551,a-dub,hybrid,4.4,50,diesel
22,3551,a-dub,hybrid,4.4,51,pepper
33,3551,a-dub,hybrid,4.4,52,earthy
33,3552,a-train,hybrid,4.1,53,earthy
45,3552,a-train,hybrid,4.1,54,woody
3,3552,a-train,hybrid,4.1,55,citrus
33,3553,acdc,hybrid,4.5,56,earthy
36,3553,acdc,hybrid,4.5,57,pine
45,3553,acdc,hybrid,4.5,58,woody
