strain_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,flavor_id,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,name,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,rating,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,strain_flavor_id,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,type,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent
,ammonia,apple,apricot,berry,blueberry,butter,cheese,chemical,chestnut,citrus,coffee,diesel,earthy,flowery,fruit,grape,grapefruit,honey,lavender,lemon,lime,mango,menthol,mint,minty,nutty,orange,peach,pear,pepper,pine,pineapple,plum,pungent,rose,sage,skunk,spicy/herbal,strawberry,sweet,tar,tea,tobacco,tree,tropical,vanilla,violet,woody,ammonia,apple,apricot,berry,blueberry,butter,cheese,chemical,chestnut,citrus,coffee,diesel,earthy,flowery,fruit,grape,grapefruit,honey,lavender,lemon,lime,mango,menthol,mint,minty,nutty,orange,peach,pear,pepper,pine,pineapple,plum,pungent,rose,sage,skunk,spicy/herbal,strawberry,sweet,tar,tea,tobacco,tree,tropical,vanilla,violet,woody,ammonia,apple,apricot,berry,blueberry,butter,cheese,chemical,chestnut,citrus,coffee,diesel,earthy,flowery,fruit,grape,grapefruit,honey,lavender,lemon,lime,mango,menthol,mint,minty,nutty,orange,peach,pear,pepper,pine,pineapple,plum,pungent,rose,sage,skunk,spicy/herbal,strawberry,sweet,tar,tea,tobacco,tree,tropical,vanilla,violet,woody,ammonia,apple,apricot,berry,blueberry,butter,cheese,chemical,chestnut,citrus,coffee,diesel,earthy,flowery,fruit,grape,grapefruit,honey,lavender,lemon,lime,mango,menthol,mint,minty,nutty,orange,peach,pear,pepper,pine,pineapple,plum,pungent,rose,sage,skunk,spicy/herbal,strawberry,sweet,tar,tea,tobacco,tree,tropical,vanilla,violet,woody,ammonia,apple,apricot,berry,blueberry,butter,cheese,chemical,chestnut,citrus,coffee,diesel,earthy,flowery,fruit,grape,grapefruit,honey,lavender,lemon,lime,mango,menthol,mint,minty,nutty,orange,peach,pear,pepper,pine,pineapple,plum,pungent,rose,sage,skunk,spicy/herbal,strawberry,sweet,tar,tea,tobacco,tree,tropical,vanilla,violet,woody,aroused,creative,energetic,euphoric,focused,giggly,happy,hungry,relaxed,sleepy,talkative,tingly,uplifted,anxious,dizzy,dry eyes,dry mouth,headache,paranoid,add/adhd,anorexia,anxiety,arthritis,asthma,bipolar disorder,cancer,cramps,crohns disease,depression,epilepsy,eye pressure,fatigue,fibromyalgia,gastrointestinal disorder,headaches,inflammation,insomnia,lack of appetite,migraines,muscle spasms,nausea,pain,ptsd,spasticity,stress
3534,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,42.0,,52.0,26.0,,40.0,,,,,,38.0,,13.0,31.0,46.0,11.0,13.0,,,48.0,,,,,,,25.0,,,,,,,,21.0,,,,,38.0,,,50.0
3535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,31.0,37.0,,,,62.0,,50.0,,,,43.0,,6.0,25.0,25.0,,,,,18.0,,,,,,,15.0,,,,,,,15.0,,,,,,21.0,,,21.0
3537,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,24.0,,41.0,,,57.0,,59.0,,,,43.0,2.0,6.0,10.0,21.0,2.0,,,,23.0,,,,,,,25.0,,,,,,,,,,,,,18.0,13.0,,28.0
3538,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,33.0,,48.0,,,62.0,,66.0,,,,48.0,3.0,6.0,13.0,22.0,,3.0,,,25.0,,,,,,,31.0,,,,,,,,,18.0,,,,22.0,,,36.0
3539,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,50.0,,,73.0,,90.0,46.0,,,46.0,3.0,5.0,9.0,21.0,,,,,28.0,,,,,,,32.0,,,,,,,,28.0,,,,,32.0,,,42.0
3541,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,46.0,,,54.0,,82.0,40.0,,,30.0,3.0,3.0,14.0,22.0,,1.0,,,20.0,,,,,,,25.0,,,,,,,,30.0,,,,,31.0,,,39.0
3542,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,45.0,,,59.0,,89.0,41.0,,,25.0,1.0,1.0,5.0,19.0,1.0,,,,28.0,,,,,,,22.0,,,,,,,,30.0,,,,,32.0,,,33.0
3543,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,32.0,,47.0,,,62.0,,95.0,,,,35.0,,5.0,12.0,10.0,5.0,5.0,,,22.0,,,,,,,,,,,,,,,,17.0,,20.0,,22.0,,,30.0
3544,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,44.0,,48.0,,,49.0,,43.0,,,,42.0,,7.0,16.0,33.0,7.0,7.0,,,34.0,,,,,,,30.0,,,,,,,,,,,,19.0,36.0,,,44.0
