negative_id,strain_id,name,type,rating,strain_negative_id,percent,name
3,3534,100-og,hybrid,4,5763,46,dry mouth
2,3534,100-og,hybrid,4,5764,31,dry eyes
1,3534,100-og,hybrid,4,5765,13,dizzy
5,3534,100-og,hybrid,4,5766,13,paranoid
4,3534,100-og,hybrid,4,5767,11,headache
2,3535,1024,sativa,4.4,5768,25,dry eyes
3,3535,1024,sativa,4.4,5769,25,dry mouth
1,3535,1024,sativa,4.4,5770,6,dizzy
3,3537,24k-gold,hybrid,4.6,5771,21,dry mouth
2,3537,24k-gold,hybrid,4.6,5772,10,dry eyes
1,3537,24k-gold,hybrid,4.6,5773,6,dizzy
4,3537,24k-gold,hybrid,4.6,5774,2,headache
6,3537,24k-gold,hybrid,4.6,5775,2,anxious
3,3538,3-kings,hybrid,4.4,5776,22,dry mouth
2,3538,3-kings,hybrid,4.4,5777,13,dry eyes
1,3538,3-kings,hybrid,4.4,5778,6,dizzy
6,3538,3-kings,hybrid,4.4,5779,3,anxious
5,3538,3-kings,hybrid,4.4,5780,3,paranoid
3,3539,303-og,indica,4.2,5781,21,dry mouth
2,3539,303-og,indica,4.2,5782,9,dry eyes
1,3539,303-og,indica,4.2,5783,5,dizzy
6,3539,303-og,indica,4.2,5784,3,anxious
3,3541,3x-crazy,indica,4.4,5785,22,dry mouth
2,3541,3x-crazy,indica,4.4,5786,14,dry eyes
6,3541,3x-crazy,indica,4.4,5787,3,anxious
1,3541,3x-crazy,indica,4.4,5788,3,dizzy
5,3541,3x-crazy,indica,4.4,5789,1,paranoid
3,3542,501st-og,hybrid,4.5,5790,19,dry mouth
2,3542,501st-og,hybrid,4.5,5791,5,dry eyes
6,3542,501st-og,hybrid,4.5,5792,1,anxious
1,3542,501st-og,hybrid,4.5,5793,1,dizzy
4,3542,501st-og,hybrid,4.5,5794,1,headache
2,3543,5th-element,indica,4.4,5795,12,dry eyes
3,3543,5th-element,indica,4.4,5796,10,dry mouth
1,3543,5th-element,indica,4.4,5797,5,dizzy
4,3543,5th-element,indica,4.4,5798,5,headache
5,3543,5th-element,indica,4.4,5799,5,paranoid
3,3544,707-headband,hybrid,4.3,5800,33,dry mouth
2,3544,707-headband,hybrid,4.3,5801,16,dry eyes
4,3544,707-headband,hybrid,4.3,5802,7,headache
5,3544,707-headband,hybrid,4.3,5803,7,paranoid
1,3544,707-headband,hybrid,4.3,5804,7,dizzy
3,3545,8-ball-kush,indica,4.3,5805,20,dry mouth
2,3545,8-ball-kush,indica,4.3,5806,12,dry eyes
4,3545,8-ball-kush,indica,4.3,5807,7,headache
5,3545,8-ball-kush,indica,4.3,5808,7,paranoid
6,3545,8-ball-kush,indica,4.3,5809,5,anxious
3,3548,9-pound-hammer,indica,4.5,5810,19,dry mouth
2,3548,9-pound-hammer,indica,4.5,5811,8,dry eyes
1,3548,9-pound-hammer,indica,4.5,5812,3,dizzy
4,3548,9-pound-hammer,indica,4.5,5813,2,headache
6,3548,9-pound-hammer,indica,4.5,5814,1,anxious
3,3550,a-10,indica,3.8,5815,37,dry mouth
2,3550,a-10,indica,3.8,5816,24,dry eyes
5,3550,a-10,indica,3.8,5817,11,paranoid
1,3550,a-10,indica,3.8,5818,8,dizzy
4,3550,a-10,indica,3.8,5819,5,headache
3,3551,a-dub,hybrid,4.4,5820,30,dry mouth
2,3551,a-dub,hybrid,4.4,5821,19,dry eyes
6,3551,a-dub,hybrid,4.4,5822,4,anxious
4,3551,a-dub,hybrid,4.4,5823,4,headache
5,3551,a-dub,hybrid,4.4,5824,2,paranoid
3,3552,a-train,hybrid,4.1,5825,31,dry mouth
2,3552,a-train,hybrid,4.1,5826,10,dry eyes
5,3552,a-train,hybrid,4.1,5827,8,paranoid
6,3552,a-train,hybrid,4.1,5828,7,anxious
1,3552,a-train,hybrid,4.1,5829,7,dizzy
3,3553,acdc,hybrid,4.5,5830,11,dry mouth
2,3553,acdc,hybrid,4.5,5831,4,dry eyes
6,3553,acdc,hybrid,4.5,5832,2,anxious
4,3553,acdc,hybrid,4.5,5833,2,headache
1,3553,acdc,hybrid,4.5,5834,2,dizzy
3,3554,ak-47,hybrid,4.2,5835,41,dry mouth
